Name,Status,District
Nandambakkam,Town Panchayat,Kanchipuram
Nandivaram - Guduvancheri,Town Panchayat,Kanchipuram
Nangavalli,Town Panchayat,Salem
Nangavaram,Town Panchayat,Karur
Nanguneri,Town Panchayat,Tirunelveli
Nanjikottai,Census Town,Thanjavur
Nannilam,Town Panchayat,Thiruvarur
Naranammalpuram,Town Panchayat,Tirunelveli
Naranapuram,Census Town,Virudhunagar
Narasimhanaicken-palayam,Town Panchayat,Coimbatore
Narasingam,Census Town,Madurai
Narasingapuram,Census Town,Vellore
Narasingapuram,Municipality,Salem
Naravarikuppam,Town Panchayat,Thiruvallur
Nasiyanur,Town Panchayat,Erode
Natchiarkoil,Census Town,Thanjavur
Natham,Town Panchayat,Dindigul
Nathampannai,Census Town,Pudukkottai
Natrampalli,Town Panchayat,Vellore
Nattalam,Census Town,Kanniyakumari
Nattapettai,Census Town,Kanchipuram
Nattarasankottai,Town Panchayat,Sivaganga
Navalpattu,Census Town,Tiruchirappalli
Navlock Garden,Census Town,Vellore
Nazarathpettai,Census Town,Thiruvallur
Nazerath,Town Panchayat,Thoothukkudi
Nedungundram,Census Town,Kanchipuram
Needamangalam,Town Panchayat,Thiruvarur
Neelagiri,Census Town,Thanjavur
Neelambur,Census Town,Coimbatore
Neelankarai,Census Town,Kanchipuram
Neikkarapatti,Town Panchayat,Dindigul
Nellikuppam,Municipality,Cuddalore
Nelliyalam,Municipality,The Nilgiris
Nemili,Town Panchayat,Vellore
Nemilicheri,Census Town,Thiruvallur
Neripperichal,Census Town,Tiruppur
Nerkunram (Nerkundram),Census Town,Thiruvallur
Nerkuppai,Town Panchayat,Sivaganga
Nerunjipettai,Town Panchayat,Erode
Neykkarappatti,Census Town,Salem
Neyveli,Township,Cuddalore
Neyyoor,Town Panchayat,Kanniyakumari
Nilaiyur I Bit,Census Town,Madurai
Nilakkottai,Town Panchayat,Dindigul
Nolambur,Census Town,Thiruvallur
Nullivilai,Census Town,Kanniyakumari
Odaipatti,Town Panchayat,Theni
Odaiyakulam,Town Panchayat,Coimbatore
Oddanchatram,Town Panchayat,Dindigul
Odugathur,Town Panchayat,Vellore
Oggiyamduraipakkam,Census Town,Kanchipuram
Olagadam,Town Panchayat,Erode
Omalur,Town Panchayat,Salem
Orathanadu (Mukthambalpuram),Town Panchayat,Thanjavur
Orikkai,Census Town,Kanchipuram
Othakadai,Census Town,Madurai
Othakalmandapam,Town Panchayat,Coimbatore
Ottapparai,Census Town,Erode
O' Valley,Town Panchayat,The Nilgiris
Overi,Census Town,Tirunelveli
Pachchal,Census Town,Vellore
Pacode,Town Panchayat,Kanniyakumari
Padaiveedu,Town Panchayat,Namakkal
Padandal,Census Town,Virudhunagar
Padappai,Census Town,Kanchipuram
Padianallur,Census Town,Thiruvallur
Padikkasu vaithanpatti,Census Town,Virudhunagar
Padirikuppam,Census Town,Cuddalore
Padmanabhapuram,Municipality,Kanniyakumari
Painkulam,Census Town,Kanniyakumari
Paiyur,Census Town,Tiruvannamalai
Palaganangudy,Census Town,Tiruchirappalli
Palakkodu,Town Panchayat,Dharmapuri
Palamedu,Town Panchayat,Madurai
Palangarai,Census Town,Tiruppur
Palani,Municipality,Dindigul
Palani Chettipatti,Town Panchayat,Theni
Palappallam,Town Panchayat,Kanniyakumari
Palavakkam,Census Town,Kanchipuram
Palavansathu,Census Town,Vellore
Palayam,Town Panchayat,Dindigul
Palayampatti,Census Town,Virudhunagar
Palladam,Municipality,Tiruppur
Pallanthurai,Census Town,Kanniyakumari
Pallapalayam,Town Panchayat,Erode
Pallapalayam,Town Panchayat,Coimbatore
Pallapatti,Town Panchayat,Karur
Pallapatti,Census Town,Virudhunagar
Pallathur,Town Panchayat,Sivaganga
Pallavaram,Municipality with Outgrowth,Kanchipuram
Pallikaranai,Town Panchayat,Kanchipuram
Pallikonda,Town Panchayat,Vellore
Pallipalayam,Municipality,Namakkal
Pallipalayam Agraharam,Census Town,Namakkal
Pallipattu,Town Panchayat,Thiruvallur
Pallippadai,Census Town,Cuddalore
Paloor,Census Town,Kanniyakumari
Palugal,Town Panchayat,Kanniyakumari
Pammal,Municipality,Kanchipuram
Panagudi,Town Panchayat,Tirunelveli
Panaimarathupatti,Town Panchayat,Salem
Panapakkam,Town Panchayat,Vellore
Pandamangalam,Town Panchayat,Namakkal
Pandavarmangalam,Census Town,Thoothukkudi
Pannaikadu,Town Panchayat,Dindigul
Pannaipuram,Town Panchayat,Theni
Panpoli,Town Panchayat,Tirunelveli
Panruti,Municipality,Cuddalore
Papanasam,Town Panchayat,Thanjavur
Pappankurichi,Census Town,Tiruchirappalli
Papparapatti,Town Panchayat,Dharmapuri
Papparapatti,Census Town,Salem
Pappireddipatti,Town Panchayat,Dharmapuri
Paramakudi,Municipality,Ramanathapuram
Paramathi,Town Panchayat,Namakkal
Parangipettai,Town Panchayat,Cuddalore
Paraniputhur,Census Town,Kanchipuram
Paravai,Town Panchayat,Madurai
Pasur,Town Panchayat,Erode
Pathamadai (Pattamadai),Town Panchayat,Tirunelveli
Pattanam,Census Town,Coimbatore
Pattinam,Town Panchayat,Namakkal
Pattinamkattan,Census Town,Ramanathapuram
Pattiveeranpatti,Town Panchayat,Dindigul
Pattukkottai,Municipality,Thanjavur
Pavali,Census Town,Virudhunagar
Peddikuppam,Census Town,Thiruvallur
Peerkankaranai,Town Panchayat with Outgrowth,Kanchipuram
Pennadam,Town Panchayat,Cuddalore
Pennagaram,Town Panchayat,Dharmapuri
Pennathur,Town Panchayat,Vellore
Peraiyur,Town Panchayat,Madurai
Peralam,Town Panchayat,Thiruvarur
Perambakkam,Census Town,Thiruvallur
Perambalur,Municipality,Perambalur
Peranamallur,Town Panchayat,Tiruvannamalai
Peravurani,Town Panchayat,Thanjavur
Periagaram,Census Town,Vellore
Periakottai,Census Town,Tiruppur
Periapattinam (Periyapattinam),Census Town,Ramanathapuram
Periyakodiveri,Town Panchayat,Erode
Periyakulam,Municipality,Theni
Periyakurichi,Census Town,Cuddalore
Periyamanali,Census Town,Namakkal
Periyanaicken-palayam,Town Panchayat,Coimbatore
Periya Negamam,Town Panchayat,Coimbatore
Periyapatti,Census Town,Namakkal
Periyasemur,Municipality,Erode
Pernampattu,Municipality,Vellore
Perumagalur,Town Panchayat,Thanjavur
Perumagoundampatti,Census Town,Salem
Perumanallur,Census Town,Tiruppur
Perumandi,Census Town,Thanjavur
Perundurai,Town Panchayat,Erode
Perungalathur,Town Panchayat,Kanchipuram
Perungudi,Town Panchayat,Kanchipuram
Perungulam,Town Panchayat,Thoothukkudi
Perur,Town Panchayat,Coimbatore
Perur Chettipalayam,Census Town,Coimbatore
Peruvilai,Census Town,Kanniyakumari
Pethampalayam,Town Panchayat,Erode
Pethanaickenpalayam,Town Panchayat,Salem
Pichandarkovil,Census Town,Tiruchirappalli
Pillanallur,Town Panchayat,Namakkal
P. J. Cholapuram,Town Panchayat,Karur
P. Mettupalayam,Town Panchayat,Erode
P. N. Patti,Town Panchayat,Salem
Polichalur,Census Town,Kanchipuram
Pollachi,Municipality,Coimbatore
Polur,Town Panchayat,Tiruvannamalai
Ponmanai,Town Panchayat,Kanniyakumari
Ponnamaravathi,Town Panchayat,Pudukkottai
Ponnampatti,Town Panchayat,Tiruchirappalli
Ponneri,Town Panchayat,Thiruvallur
Poolambadi,Town Panchayat,Perambalur
Poolampatti,Town Panchayat,Salem
Poolankinar,Census Town,Tiruppur
Pooluvapatti,Town Panchayat,Coimbatore
Poonamallee,Municipality with Outgrowth,Thiruvallur
Poravacheri,Census Town,Nagapattinam
Porur,Town Panchayat,Thiruvallur
Pothanur,Town Panchayat,Namakkal
Pothatturpettai,Town Panchayat,Thiruvallur
Pudiyamputhur,Census Town,Thoothukkudi
Pudukkottai,Census Town,Pudukkottai
Pudukkottai,Municipality,Pudukkottai
Pudupalayam,Town Panchayat,Tiruvannamalai
Pudupalayam Agraharam,Census Town,Namakkal
Pudupatti,Town Panchayat,Theni
Pudupattinam,Census Town,Kanchipuram
Pudupattinam,Census Town,Thanjavur
Pudur (S),Town Panchayat,Tirunelveli
Puduvayal,Town Panchayat,Sivaganga
Puliankudi (Puliyankudi),Municipality,Tirunelveli
Puliyoorsalai,Census Town,Kanniyakumari
Puliyur,Town Panchayat,Karur
Pullampadi (Pullambadi),Town Panchayat,Tiruchirappalli
Punjaipugalur,Town Panchayat,Karur
Punjaipuliampatti,Municipality,Erode
Punjai Thottakurichi,Town Panchayat,Karur
Puthagaram,Census Town,Thiruvallur
Puthalam,Town Panchayat,Kanniyakumari
Putheri,Census Town,Kanniyakumari
Puthukkadai,Town Panchayat,Kanniyakumari
Puthur Agraharam,Census Town,Salem
Puvalur (Poovalur),Town Panchayat,Tiruchirappalli
Puzhal,Town Panchayat,Thiruvallur
Puzhithivakkam (Ullagaram),Municipality,Kanchipuram
Rajapalayam,Municipality,Virudhunagar
Rajapalayam,Census Town,Salem
Ramalingapuram,Census Town,Virudhunagar
Ramanathapuram,Municipality,Ramanathapuram
Ramapuram,Census Town,Thiruvallur
Rameswaram,Municipality,Ramanathapuram
Ranipettai (Ranipet),Municipality,Vellore
Rasipuram,Municipality,Namakkal
Rayagiri,Town Panchayat,Tirunelveli
Reethapuram,Town Panchayat,Kanniyakumari
Rosalpatti,Census Town,Virudhunagar
R. Pudupatti,Town Panchayat,Namakkal
R. S. Mangalam,Town Panchayat,Ramanathapuram
Rudravathi,Town Panchayat,Tiruppur
Sakkarakottai,Census Town,Ramanathapuram
Sakkimangalam,Census Town,Madurai
Salamedu,Census Town,Viluppuram
Salangapalayam,Town Panchayat,Erode
Salem,Municipal Corporation,Salem
Samalapuram,Town Panchayat,Tiruppur
Samanatham,Census Town,Madurai
Samathur,Town Panchayat,Coimbatore
Samayanallur,Census Town,Madurai
Sambavar Vadagarai,Town Panchayat,Tirunelveli
Samusigapuram,Census Town,Virudhunagar
Sankaramanallur,Town Panchayat,Tiruppur
Sankarankoil (Sankarankovil),Municipality,Tirunelveli
Sankaraperi,Census Town,Thoothukkudi
Sankarapuram,Town Panchayat,Viluppuram
Sankarapuram,Census Town,Sivaganga
Sankari (Sankagiri),Town Panchayat,Salem
Sankarnagar,Town Panchayat,Tirunelveli
Sanniyasigundu,Census Town,Salem
Saravanampatti,Town Panchayat,Coimbatore
Sarcarsamakulam,Town Panchayat,Coimbatore
Sathankulam,Town Panchayat,Thoothukkudi
Sathiyavijayanagaram,Census Town,Tiruvannamalai
Sathkar,Census Town,Vellore
Sathuvachari (Sathuvacheri),Municipality,Vellore
Sathyamangalam,Municipality,Erode
Sattur,Municipality,Virudhunagar
Sayalgudi,Town Panchayat,Ramanathapuram
Sayapuram,Town Panchayat,Thoothukkudi
Seerapalli,Town Panchayat,Namakkal
Seithur,Town Panchayat,Virudhunagar
Selathampatti,Census Town,Salem
Sembakkam,Town Panchayat,Kanchipuram
Sembedu,Census Town,Vellore
Sembianallur,Census Town,Tiruppur
Semmipalayam,Census Town,Tiruppur
Senapiratti,Census Town,Karur
Sengamalanachiarpatti,Census Town,Virudhunagar
Senneerkuppam,Census Town,Thiruvallur
Senthamangalam,Town Panchayat,Namakkal
Sentharapatti,Town Panchayat,Salem
Senur,Census Town,Vellore
Sethiathoppu,Town Panchayat,Cuddalore
Sevilimedu,Town Panchayat,Kanchipuram
Sevugampatti,Town Panchayat,Dindigul
Sevur,Census Town,Vellore
Sevur,Census Town,Tiruvannamalai
Shenbakkam,Town Panchayat,Vellore
Shenkottai (Sengottai),Municipality,Tirunelveli
Sholavandan,Town Panchayat,Madurai
Sholinganallur,Town Panchayat with Outgrowth,Kanchipuram
Sholingur (Sholinghur),Town Panchayat,Vellore
Sholur,Town Panchayat,The Nilgiris
Sikkarayapuram,Census Town,Kanchipuram
Silaiman,Census Town,Madurai
Silapadi,Census Town,Dindigul
Singampuneri (Singampunari),Town Panchayat,Sivaganga
Singaperumalkoil,Census Town,Kanchipuram
Sircar Periapalayam,Census Town,Tiruppur
Sirkali (Sirkazhi),Municipality,Nagapattinam
Sirugamani,Town Panchayat,Tiruchirappalli
Sirukalathur,Census Town,Kanchipuram
Sirukaveripakkam,Census Town,Kanchipuram
Sirumugai,Town Panchayat,Coimbatore
Sithayankottai,Town Panchayat,Dindigul
Sithurajapuram,Census Town,Virudhunagar
Sivaganga,Municipality,Sivaganga
Sivagiri,Town Panchayat,Erode
Sivagiri,Town Panchayat,Tirunelveli
Sivagiripatti,Census Town,Dindigul
Sivagnanapuram,Census Town,Virudhunagar
Sivakasi,Municipality,Virudhunagar
Sivanthipuram,Census Town,Tirunelveli
Somayampalayam,Census Town,Coimbatore
Soolakkarai,Census Town,Virudhunagar
Soorapattu,Census Town,Thiruvallur
South Kannanur,Town Panchayat,Tiruchirappalli
South Kodikulam,Town Panchayat,Virudhunagar
South Nallur,Municipality,Tiruppur
Srikalikapuram,Census Town,Thiruvallur
Srimushnam,Town Panchayat,Cuddalore
Sriperumbudur,Town Panchayat,Kanchipuram
Sriramapuram,Town Panchayat,Dindigul
Srivaikuntam,Town Panchayat,Thoothukkudi
Srivilliputhur,Municipality,Virudhunagar
St. Thomas Mount-cum-Pallavaram,Cantonment (Board),Kanchipuram
Suchindrum (Suchindram),Town Panchayat,Kanniyakumari
Suleeswaranpatti,Town Panchayat,Coimbatore
Sulur,Town Panchayat,Coimbatore
Sumaitheerthapuram,Census Town,Tirunelveli
Sundarapandiam,Town Panchayat,Virudhunagar
Sundarapandianpattinam,Census Town,Ramanathapuram
Sundarapandiapuram,Town Panchayat,Tirunelveli
SuPallipattu,Census Town,Vellore
Surampatti,Municipality,Erode
Surandai,Town Panchayat,Tirunelveli
Suriyampalayam,Town Panchayat,Erode
Swamimalai,Town Panchayat,Thanjavur
Tajpura,Census Town,Vellore
Tambaram,Municipality,Kanchipuram
Tenkasi,Municipality,Tirunelveli
Terkukallikulam,Census Town,Tirunelveli
Thadikarankonam,Census Town,Kanniyakumari
Thadikombu,Town Panchayat,Dindigul
Thakkolam,Town Panchayat,Vellore
Thalainayar,Town Panchayat,Nagapattinam
Thalakudi,Census Town,Tiruchirappalli
Thamaraikulam,Town Panchayat,Theni
Thammampatti,Town Panchayat,Salem
Thanakkankulam,Census Town,Madurai
Thanjavur,Municipality,Thanjavur
Thanthoni,Municipality,Karur
Thappakuttai,Census Town,Salem
Tharamangalam,Town Panchayat,Salem
Tharangambadi,Town Panchayat,Nagapattinam
Thathaiyangarpet,Town Panchayat,Tiruchirappalli
Thathankuttai,Census Town,Namakkal
Thazhakudy,Town Panchayat,Kanniyakumari
Thedavur,Town Panchayat,Salem
Theerthagiriyampattu,Census Town,Thiruvallur
Thenambakkam,Census Town,Kanchipuram
Thengampudur,Town Panchayat,Kanniyakumari
Theni Allinagaram,Municipality,Theni
Thenkarai,Town Panchayat,Coimbatore
Thenkarai,Town Panchayat,Theni
Thenthamaraikulam,Town Panchayat,Kanniyakumari
Thenthiruperai,Town Panchayat,Thoothukkudi
Therur (Theroor),Town Panchayat,Kanniyakumari
Thevaram,Town Panchayat,Theni
Thevur,Town Panchayat,Salem
Thiagadurgam,Town Panchayat,Viluppuram
Thikkanamcode,Census Town,Kanniyakumari
Thindal,Census Town,Erode
Thingalnagar,Town Panchayat,Kanniyakumari
Thirparappu (Thiruparappu),Town Panchayat,Kanniyakumari
Thirukarungudi,Town Panchayat,Tirunelveli
Thirukkattupalli,Town Panchayat,Thanjavur
Thirumalayampalayam,Town Panchayat,Coimbatore
Thirumalpur,Census Town,Vellore
Thirumangalam (Tirumangalam),Municipality,Madurai
Thirumazhisai,Town Panchayat,Thiruvallur
Thirumuruganpoondi,Town Panchayat,Tiruppur
Thirunagar,Town Panchayat,Madurai
Thirunageswaram,Town Panchayat,Thanjavur
Thiruneermalai,Town Panchayat,Kanchipuram
Thirunindravur (Thiruninravur),Town Panchayat,Thiruvallur
Thiruparankundram,Municipality with Outgrowth,Madurai
Thiruporur,Town Panchayat,Kanchipuram
Thiruppalai,Census Town,Madurai
Thiruppanandal,Town Panchayat,Thanjavur
Thirupuvanam (Thirubuvanam),Town Panchayat,Thanjavur
Thirupuvanam,Town Panchayat,Sivaganga
Thiruthangal,Municipality,Virudhunagar
Thiruthuraipoondi,Municipality,Thiruvarur
Thiruvaiyaru,Town Panchayat,Thanjavur
Thiruvalam,Town Panchayat,Vellore
Thiruvallur (Tiruvallur),Municipality,Thiruvallur
Thiruvarur,Municipality,Thiruvarur
Thiruvattar,Town Panchayat,Kanniyakumari
Thiruvenkadam,Town Panchayat,Tirunelveli
Thiruvennainallur,Town Panchayat,Viluppuram
Thiruverumbur,Town Panchayat,Tiruchirappalli
Thiruvidaimarudur,Town Panchayat,Thanjavur
Thiruvithancode (Thiruvithamcode),Town Panchayat,Kanniyakumari
Thisayanvilai,Town Panchayat,Tirunelveli
Thondamuthur,Town Panchayat,Coimbatore
Thondi,Town Panchayat,Ramanathapuram
Thoothukkudi (Thoothukudi),Municipal Corporation,Thoothukkudi
Thorapadi,Town Panchayat,Vellore
Thorapadi,Town Panchayat,Cuddalore
Thottipalayam,Census Town,Tiruppur
Thottiyam,Town Panchayat,Tiruchirappalli
Thozhur,Census Town,Thiruvallur
Thudiyalur,Town Panchayat,Coimbatore
Thuraiyur,Municipality,Tiruchirappalli
Thuthipattu,Census Town,Vellore
Thuvakudi,Municipality,Tiruchirappalli
Timiri,Town Panchayat,Vellore
Tindivanam,Municipality,Viluppuram
Tiruchendur (Thiruchendur),Town Panchayat,Thoothukkudi
Tiruchengode,Municipality,Namakkal
Tiruchirappalli,Municipal Corporation,Tiruchirappalli
Tirukalukundram,Town Panchayat,Kanchipuram
Tirukkoyilur (Tirukoilur),Town Panchayat,Viluppuram
Tirumalaigiri,Census Town,Salem
Tirunelveli,Municipal Corporation,Tirunelveli
Tirupathur (Tiruppattur),Municipality,Vellore
Tirupathur,Town Panchayat,Sivaganga
Tirupattur,Census Town,Vellore
Tiruppur,Municipal Corporation,Tiruppur
Tirusulam,Census Town,Kanchipuram
Tiruttani (Thiruttani),Municipality,Thiruvallur
Tiruvannamalai,Municipality,Tiruvannamalai
Tiruverkadu,Municipality with Outgrowth,Thiruvallur
Tiruvethipuram (Cheyyar),Municipality,Tiruvannamalai
Tiruvottiyur,Municipality,Thiruvallur
Tittacheri,Town Panchayat,Nagapattinam
Tittakudi,Town Panchayat,Cuddalore
Tittangulam,Census Town,Thoothukkudi
T.Kallupatti,Town Panchayat,Madurai
TNPL Pugalur,Town Panchayat,Karur
Udangudi,Town Panchayat,Thoothukkudi
Udayarpalayam,Town Panchayat,Ariyalur
Udhagamandalam (Ooty),Municipality,The Nilgiris
Udumalaipettai,Municipality,Tiruppur
Ullur,Census Town,Thanjavur
Ulundurpettai,Town Panchayat,Viluppuram
Unjalur,Town Panchayat,Erode
Unnamalaikadai,Town Panchayat,Kanniyakumari
Uppidamangalam,Town Panchayat,Karur
Uppiliapuram,Town Panchayat,Tiruchirappalli
Urapakkam,Census Town,Kanchipuram
Usilampatti,Municipality,Madurai
Usuppur,Census Town,Cuddalore
Uthamapalayam,Town Panchayat,Theni
Uthangarai,Town Panchayat,Krishnagiri
Uthayendram,Town Panchayat,Vellore
Uthiramerur,Town Panchayat,Kanchipuram
Uthukkottai (Uthukottai),Town Panchayat,Thiruvallur
Uthukuli,Town Panchayat,Tiruppur
Vadakarai Keezhpadugai,Town Panchayat,Tirunelveli
Vadakkanandal,Town Panchayat,Viluppuram
Vadakkuvalliyur,Town Panchayat,Tirunelveli
Vadalur,Town Panchayat,Cuddalore
Vadamadurai,Town Panchayat,Dindigul
Vadavalli,Town Panchayat,Coimbatore
Vaddakkankulam,Census Town,Tirunelveli
Vadi,Census Town,Virudhunagar
Vadipatti,Town Panchayat,Madurai
Vadugapatti,Town Panchayat,Erode
Vadugapatti,Town Panchayat,Theni
Vaitheeswarankoil,Town Panchayat,Nagapattinam
Valangaiman,Town Panchayat,Thiruvarur
Valasaravakkam,Municipality,Thiruvallur
Valathur,Census Town,Vellore
Valavandankottai,Census Town,Tiruchirappalli
Valavanur,Town Panchayat,Viluppuram
Valayambattu,Census Town,Vellore
Vallam,Town Panchayat,Thanjavur
Vallam,Census Town,Kanchipuram
Valparai,Municipality,Coimbatore
Valvaithankoshtam,Town Panchayat,Kanniyakumari
Vanagaram,Census Town,Thiruvallur
Vanapadi,Census Town,Vellore
Vanavasi,Town Panchayat,Salem
Vandalur,Census Town,Kanchipuram
Vandavasi,Municipality,Tiruvannamalai
Vandiyur,Census Town,Madurai
Vanganur,Census Town,Thiruvallur
Vaniputhur,Town Panchayat,Erode
Vaniyambadi,Municipality,Vellore
Vanniyoor,Census Town,Kanniyakumari
Varadarajanpettai,Town Panchayat,Ariyalur
Vasudevanallur,Town Panchayat,Tirunelveli
Vathirairuppu,Town Panchayat,Virudhunagar
Vavarai,Census Town,Kanniyakumari
Vazhapadi,Town Panchayat,Salem
Vedapatti,Town Panchayat,Coimbatore
Vedaranyam,Municipality,Nagapattinam
Vedasandur,Town Panchayat,Dindigul
Veeraganur,Town Panchayat,Salem
Veerakeralam,Town Panchayat,Coimbatore
Veerakkalpudur,Town Panchayat,Salem
Veerapandi,Census Town,Tiruppur
Veerapandi,Town Panchayat,Coimbatore
Veerapandi,Town Panchayat,Theni
Veerapandianpattinam Town,Census Town,Thoothukkudi
Veerappanchatiram (Veerappanchatram),Municipality,Erode
Veeravanallur,Town Panchayat,Tirunelveli
Velampalayam,Municipality,Tiruppur
Velankanni,Town Panchayat,Nagapattinam
Velayudampalayam,Census Town,Tiruppur
Vellakinar,Town Panchayat,Coimbatore
Vellakkalpatty,Census Town,Salem
Vellakoil,Municipality,Tiruppur
Vellalur (Vellalore),Town Panchayat,Coimbatore
Vellamcode,Census Town,Kanniyakumari
Vellaravalli,Census Town,Tiruppur
Vellimalai,Town Panchayat,Kanniyakumari
Vellore,Municipal Corporation,Vellore
Vellottamparappu,Town Panchayat,Erode
Velur,Town Panchayat,Namakkal
Vembadithalam,Census Town,Salem
Vengampudur,Town Panchayat,Erode
Vengathur,Census Town,Thiruvallur
Vengavasal,Census Town,Kanchipuram
Vengikkal,Census Town,Tiruvannamalai
Venkarai,Town Panchayat,Namakkal
Venkatachalapuram,Census Town,Virudhunagar
Venkatapuram,Census Town,Krishnagiri
Vennanthur,Town Panchayat,Namakkal
Veppathur,Town Panchayat,Thanjavur
Verkilambi,Town Panchayat,Kanniyakumari
Vettaikaranpudur,Town Panchayat,Coimbatore
Vettavalam,Town Panchayat,Tiruvannamalai
Vijayapuri,Census Town,Erode
Vikramasingapuram,Municipality,Tirunelveli
Vikravandi,Town Panchayat,Viluppuram
Vilacheri,Census Town,Madurai
Vilangudi,Town Panchayat,Madurai
Vilankurichi,Census Town,Coimbatore
Vilapakkam,Town Panchayat,Vellore
Vilar,Census Town,Thanjavur
Vilathikulam,Town Panchayat,Thoothukkudi
Vilathurai,Census Town,Kanniyakumari
Vilavancode,Census Town,Kanniyakumari
Vilavur,Town Panchayat,Kanniyakumari
Villukuri,Town Panchayat,Kanniyakumari
Viluppuram,Municipality,Viluppuram
Viraganur,Census Town,Madurai
Viralimalai,Census Town,Pudukkottai
Virinchipuram,Census Town,Vellore
Virudampattu,Census Town,Vellore
Virudhachalam,Municipality,Cuddalore
Virudhunagar,Municipality,Virudhunagar
Virupakshipuram,Census Town,Vellore
Viswanatham,Census Town,Virudhunagar
V.Pudupatti,Town Panchayat,Virudhunagar
V. Pudur,Town Panchayat,Thoothukkudi
Walajabad,Town Panchayat,Kanchipuram
Walajapet,Municipality with Outgrowth,Vellore
Wellington,Cantonment (Board),The Nilgiris
Yercaud,Census Town,Salem
Zamin Uthukuli,Town Panchayat,Coimbatore
Zuzuvadi,Census Town,Krishnagiri
